Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|      79 |       94800 |       00:31:08 |       40.00% |       30.68% |       1.8168 |       2.0783 |          0.0010 |
|      80 |       96000 |       00:31:31 |       60.00% |       57.35% |       1.0802 |       1.1665 |          0.0010 |
|      81 |       97200 |       00:31:54 |       54.00% |       57.46% |       1.0331 |       1.0462 |          0.0010 |
|      82 |       98400 |       00:32:17 |       52.00% |       58.20% |       1.0553 |       0.9996 |          0.0010 |
|      83 |       99600 |       00:32:40 |       68.00% |       57.28% |       0.8092 |       1.0105 |          0.0010 |
|      84 |      100800 |       00:33:03 |       46.00% |       39.91% |       1.4105 |       1.5162 |          0.0010 |
|      85 |      102000 |       00:33:26 |       64.00% |       58.16% |       1.0472 |       1.0405 |          0.0010 |
|      86 |      103200 |       00:33:48 |       34.00% |       29.62% |       1.7165 |       1.8830 |          0.0010 |
|      87 |      104400 |       00:34:11 |       26.00% |       28.80% |       1.8496 |       1.7961 |          0.0010 |
|      88 |      105600 |       00:34:34 |       30.00% |       33.60% |       1.8509 |       1.6763 |          0.0010 |
|      89 |      106800 |       00:34:57 |       52.00% |       37.20% |       1.2843 |       1.6056 |          0.0010 |
|      90 |      108000 |       00:35:20 |       28.00% |       20.83% |       1.9363 |       2.0173 |          0.0010 |
|      91 |      109200 |       00:35:43 |       14.00% |       20.92% |       2.0676 |       2.0015 |          0.0010 |
|      92 |      110400 |       00:36:05 |       20.00% |       20.77% |       2.0684 |       2.0031 |          0.0010 |
|      93 |      111600 |       00:36:28 |       18.00% |       20.06% |       2.0828 |       2.0557 |          0.0010 |
|      94 |      112800 |       00:36:51 |       38.00% |       30.57% |       1.5588 |       1.7620 |          0.0010 |
|      95 |      114000 |       00:37:14 |       18.00% |       20.42% |       2.0680 |       2.0330 |          0.0010 |
|      96 |      115200 |       00:37:37 |       10.00% |       19.62% |       2.0807 |       2.0842 |          0.0010 |
|      97 |      116400 |       00:38:00 |       28.00% |       30.90% |       1.9534 |       1.7789 |          0.0010 |
|      98 |      117600 |       00:38:23 |       24.00% |       23.39% |       1.9628 |       1.9568 |          0.0010 |
|      99 |      118800 |       00:38:46 |       28.00% |       20.45% |       1.8849 |       2.0184 |          0.0010 |
|     100 |      120000 |       00:39:08 |       16.00% |       20.80% |       2.0652 |       2.0048 |          0.0010 |
|======================================================================================================================|

ans = 

    "--->Total time: 2360.34"

    0.2080
