Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|      81 |       97200 |       00:31:14 |       66.00% |       66.89% |       1.1637 |       0.9282 |          0.0010 |
|      82 |       98400 |       00:31:37 |       58.00% |       64.57% |       1.1599 |       1.0177 |          0.0010 |
|      83 |       99600 |       00:31:59 |       66.00% |       61.66% |       0.9605 |       1.0467 |          0.0010 |
|      84 |      100800 |       00:32:22 |       70.00% |       62.59% |       0.9438 |       1.1016 |          0.0010 |
|      85 |      102000 |       00:32:45 |       46.00% |       43.74% |       1.5173 |       1.4432 |          0.0010 |
|      86 |      103200 |       00:33:08 |       62.00% |       52.79% |       1.0557 |       1.2280 |          0.0010 |
|      87 |      104400 |       00:33:30 |       70.00% |       72.05% |       0.8829 |       0.7608 |          0.0010 |
|      88 |      105600 |       00:33:53 |       62.00% |       62.58% |       1.1468 |       1.0519 |          0.0010 |
|      89 |      106800 |       00:34:16 |       34.00% |       40.11% |       1.8078 |       1.6579 |          0.0010 |
|      90 |      108000 |       00:34:38 |       32.00% |       37.86% |       1.7007 |       1.6192 |          0.0010 |
|      91 |      109200 |       00:35:01 |       28.00% |       37.18% |       1.8251 |       1.5938 |          0.0010 |
|      92 |      110400 |       00:35:24 |       36.00% |       44.91% |       1.5234 |       1.3902 |          0.0010 |
|      93 |      111600 |       00:35:47 |       16.00% |       11.35% |       2.2987 |       2.3101 |          0.0010 |
|      94 |      112800 |       00:36:09 |       14.00% |       11.35% |       2.3108 |       2.3067 |          0.0010 |
|      95 |      114000 |       00:36:32 |        8.00% |       11.97% |       2.3078 |       2.2867 |          0.0010 |
|      96 |      115200 |       00:36:54 |       24.00% |       17.72% |       2.1177 |       2.1319 |          0.0010 |
|      97 |      116400 |       00:37:17 |       14.00% |       17.75% |       2.2346 |       2.1289 |          0.0010 |
|      98 |      117600 |       00:37:39 |       16.00% |       14.42% |       2.1969 |       2.2447 |          0.0010 |
|      99 |      118800 |       00:38:02 |       34.00% |       24.38% |       1.8965 |       1.9545 |          0.0010 |
|     100 |      120000 |       00:38:24 |       22.00% |       23.69% |       2.0467 |       1.9744 |          0.0010 |
|======================================================================================================================|
