Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|      91 |        9100 |       01:43:41 |       99.50% |       98.93% |       0.0288 |       0.0885 |          0.0010 |
|      92 |        9200 |       01:44:49 |       99.83% |       98.80% |       0.0177 |       0.0920 |          0.0010 |
|      93 |        9300 |       01:45:57 |       99.83% |       98.86% |       0.0041 |       0.1021 |          0.0010 |
|      94 |        9400 |       01:47:06 |       99.67% |       98.71% |       0.0098 |       0.1000 |          0.0010 |
|      95 |        9500 |       01:48:14 |      100.00% |       99.06% |       0.0011 |       0.0717 |          0.0010 |
|      96 |        9600 |       01:49:22 |       99.67% |       99.06% |       0.0104 |       0.0818 |          0.0010 |
|      97 |        9700 |       01:50:31 |       99.67% |       98.93% |       0.0130 |       0.0944 |          0.0010 |
|      98 |        9800 |       01:51:39 |      100.00% |       98.84% |       0.0003 |       0.1067 |          0.0010 |
|      99 |        9900 |       01:52:47 |       99.83% |       99.10% |       0.0015 |       0.0778 |          0.0010 |
|     100 |       10000 |       01:53:56 |      100.00% |       99.06% |   3.7527e-05 |       0.0829 |          0.0010 |
|======================================================================================================================|

ans = 

    "--->Total time: 6840.93"

    0.9906
